"Kod TERYT";"Województwo";"Frekwencja";"% głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"% głosów ważnych";"Andrzej Sebastian DUDA";"Rafał Kazimierz TRZASKOWSKI";"Liczba obwodów"
"020000";"dolnośląskie";"66,99";"0,86";"57,86";"42,14";"";"99,14";"44,61";"55,39";1947
"040000";"kujawsko-pomorskie";"65,31";"0,79";"59,11";"40,89";"";"99,21";"46,77";"53,23";1653
"060000";"lubelskie";"66,06";"0,92";"56,28";"43,72";"";"99,08";"66,31";"33,69";1906
"080000";"lubuskie";"64,95";"0,78";"53,45";"46,55";"";"99,22";"40,20";"59,80";720
"100000";"łódzkie";"69,68";"0,89";"58,49";"41,51";"";"99,11";"54,46";"45,54";1733
"120000";"małopolskie";"70,38";"0,91";"58,35";"41,65";"";"99,09";"59,65";"40,35";2419
"140000";"mazowieckie";"73,80";"0,84";"57,51";"42,49";"";"99,16";"47,74";"52,26";3635
"160000";"opolskie";"59,92";"0,85";"53,97";"46,03";"";"99,15";"47,36";"52,64";871
"180000";"podkarpackie";"66,49";"0,87";"56,48";"43,52";"";"99,13";"70,92";"29,08";1818
"200000";"podlaskie";"64,33";"0,93";"56,57";"43,43";"";"99,07";"60,14";"39,86";964
"220000";"pomorskie";"70,04";"0,84";"58,95";"41,05";"";"99,16";"40,16";"59,84";1397
"240000";"śląskie";"66,91";"0,91";"58,74";"41,26";"";"99,09";"48,99";"51,01";2753
"260000";"świętokrzyskie";"66,37";"0,83";"57,21";"42,79";"";"99,17";"64,41";"35,59";989
"280000";"warmińsko-mazurskie";"62,14";"0,82";"53,78";"46,22";"";"99,18";"46,84";"53,16";1115
"300000";"wielkopolskie";"69,25";"0,86";"59,31";"40,69";"";"99,14";"45,07";"54,93";2186
"320000";"zachodniopomorskie";"66,39";"0,78";"56,29";"43,71";"";"99,22";"41,24";"58,76";1123
